alert_id,timestamp,user_id,severity,category,title,message,verification_id,is_read
889CC61119D2,2026-02-22T15:44:40.559882+00:00,u9954ad41,info,incident,Incident 9B8DC788306D Updated,Status changed to in_review.,5581E5F6CC29,0
F23D729FE0FB,2026-02-22T16:08:35.055564+00:00,u9954ad41,info,verification,New User Uploads Pending Verification,UserAdmin uploaded 3 document(s) to secure drive.,,0
91F723957050,2026-02-22T16:18:09.131615+00:00,u9954ad41,info,integrity,Integrity Scan Completed,All 10 records passed integrity checks.,,0
6C321B04909A,2026-02-22T16:22:32.259257+00:00,u9954ad41,critical,incident,Incident 7D7922CA50F6 Created,qwe for VID B83DF2CA3EC2.,B83DF2CA3EC2,0
DED6619B1FA5,2026-02-22T16:23:05.453769+00:00,u9954ad41,info,ownership,Ownership Received,VID B83DF2CA3EC2 transferred to you.,B83DF2CA3EC2,0
4434F092C4D9,2026-02-22T17:15:06.751346+00:00,u9954ad41,info,integrity,Integrity Scan Completed,All 10 records passed integrity checks.,,0
D40F8A0825C9,2026-02-22T17:32:05.314045+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for UserAdmin.,,0
2E98A6D598E1,2026-02-22T17:54:24.411298+00:00,u9954ad41,info,integrity,Integrity Scan Completed,All 10 records passed integrity checks.,,0
5C94811A71FD,2026-02-22T18:03:30.173402+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for UserAdmin.,,0
2F46F4F378BC,2026-02-22T18:31:05.277447+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for UserAdmin.,,0
EB6E479DB436,2026-02-22T18:31:19.708281+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for UserAdmin.,,0
12D9642B9C52,2026-02-22T18:32:18.572342+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for AdminUser.,,0
C41D4399BDF3,2026-02-23T05:15:07.972465+00:00,u9954ad41,info,verification,New User Uploads Pending Verification,Moon uploaded 6 document(s) to secure drive.,,0
0CA97CFE65C7,2026-02-23T05:20:21.445626+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for Moon.,,0
02C4DE7F9BE3,2026-02-23T05:32:02.306395+00:00,u9954ad41,warning,auth,Manual 2FA Review Requested,Moon submitted code 123456 (REQ 10BA5F31829E) [auto-validated=no].,,0
E1292BDCFE24,2026-02-23T05:34:29.802616+00:00,u9954ad41,warning,auth,Manual 2FA Review Requested,Moon submitted code - (REQ 27F9F28C21B2) [auto-validated=no].,,0
CCCD6C85B059,2026-02-23T06:35:32.887480+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for UserAdmin.,,0
228135595FBB,2026-02-23T06:56:08.035087+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for UserAdmin.,,0
D454DF10EC98,2026-02-23T06:56:47.508066+00:00,u9954ad41,warning,auth,Failed Login Attempt,Invalid credentials detected for AdminUser.,,0
6D1CBBE112E6,2026-02-23T06:58:38.105770+00:00,u9954ad41,info,integrity,Integrity Scan Completed,All 10 records passed integrity checks.,,0
D34110F31970,2026-02-23T07:08:38.554201+00:00,u9954ad41,info,integrity,Integrity Scan Completed,All 12 records passed integrity checks.,,0
A0310C17C46A,2026-02-23T07:19:44.635084+00:00,u9954ad41,info,ownership,Ownership Received,VID B83DF2CA3EC2 transferred to you.,B83DF2CA3EC2,0
7F47D3D8CCF5,2026-02-23T07:20:08.556858+00:00,u9954ad41,info,integrity,Integrity Scan Completed,All 12 records passed integrity checks.,,0
504363C17670,2026-02-23T07:22:17.701159+00:00,u9954ad41,warning,verification,New Public Upload Pending Verification,Akash moon submitted 1 document(s) via public upload.,,0
41EAC7590A6D,2026-02-23T07:41:45.015531+00:00,u9954ad41,info,verification,New User Uploads Pending Verification,smkusr322600 uploaded 1 document(s) to secure drive.,,0
18B5C7D46284,2026-02-23T07:41:45.777846+00:00,u9954ad41,info,integrity,Integrity Scan Completed,All 13 records passed integrity checks.,,0
BA779507B53C,2026-02-23T08:04:22.687098+00:00,u69542bad,info,account,Email Verification Status Updated,Admin updated your email state to verified.,,0
9E2D0AAB979B,2026-02-23T08:12:20.315950+00:00,u9954ad41,info,verification,New User Uploads Pending Verification,UserAdmin uploaded 3 document(s) to secure drive.,,0
